,Text,Prediction
10,Buenas quería contar mi experiencia en el burger King de Rivas Madrid lo mejor que puedo decir es que uno de mis encargados y mi jerente por lo menos se preocupan por los trabajadores En general a las franquicias no les importa ni los mínimo el trabajor 5 hora y no solo haciendo hamburguesas los que hayan trabajado en esta franquicia sabrán que se trabaja como una mula y con límites de tiempo Las taquillas que se encuentran en el vestuario de cada genero de las cuales tienen llave el 10 resulta que son asaltadas por algún compañero cada poco tiempo desapareciendo así dinero desde que comencé en octubre ya existía el problema y aún a día de hoy no nos llevamos Nada de dinero La verdad es que debería haber una limpiadora que fuera todos los días las cosas se limpian por encima no he visto a nadie limpiar las lámparas en este mes y medio ni un montón de cosas que deberían tener más higiene Todos los compañeros hablan mal unos de otros a la espalda es muy frustrante no saber ni con quién debes hablar en tu puesto de trabajo Podría decir mucho más pero tampoco creo que ayude Gracias por leer Burgerking Rivas Trabajosruinerosmadrid,1
11,En CLECE se queda corto con lo que han dicho aparte de todo eso de hacerte contrato de prácticas cuando tienes una experiencia de 20 años por menos de 620e hacerte trabajar 16 horas sin descanso también tienes que realizar trabajos de enfermería cuando tienes la suerte de tener enfermera tienes que dar medicación hacer curas y derivar a pacientes al hospital tu todo eso teniendo hora y media para a costar a casi 15 abuelos tú solo Y no contentos con eso te hacen hacer el trabajo de cocina de fregar y de todo lo demas a este paso tendremos también que limpiar los suelos cosa que a veces también se hace y todo eso por un sueldo de 600e Y cuando te despiden tardas casi dos meses en cobrar el finiquito Una lastima que se lucren de cobrar 1 500e por residente para tenerlos en condiciones precarias escaseando de comida y de asistencia al no tener nada más que 4 o 5 auxiliares para casi 90 residentes Ciempozuelos residencia Pablo Neruda que por cierto sigo esperando mi finiquito Clece Ciempozuelos Trabajosruinerosmadrid,1
12,Mira me citan por corner job y voy 5 minutos antes y ahí nadie sabia que yo tenía la entrevista tuve q enseñar las conversaciones me hicieron cuatro preguntas tontas y al dia siguente empeze como repartidor se supone porque me explitav Esplotaban de una manera estaba hasta en cocina si tener ni idea Luego los orarios horibles y el gerente te engaña de una manera increible te dice hazme un fabor haz estos últimos pedidos en la otra punta de coslada y antes de q los icieses ya te lo apuntaba y te apuntaba la ora de salida cuando yo tardaba 1 h mas y luego tenia q llevar la moto al garaje q esta a tomar por culo Y inocente de mi le pregunte q si me iva a pagar las oras extra q hacia todos los dias q curraba ahi y coje y me pone media ora mas cuando hacia 2 h o mas de extras Aparte el salario una basura porque pertenece al grupo zena y se lleba tu 20 por ciento vamos q 300 por currar 12 semanales mas casi 2 o 3 h de extras k hacias obligado y se les dices algo te miran con mala cara los gerentes Los otros repartidores opinaban todos iggual deseando irse asi le pasa k renuevan el presonal cada mes menos alguno q neceita mucho la pasta dominospizza coslada Trabajosruinerosmadrid,1
13,Yo trabajé en IKEA San Sebastián de los Reyes desde enero hasta abril y al principio es verdad que el trato al trabajador era prácticamente idílico pero cuando llegaba el final de mi contrato y el de otros cuantos compañeros la posible renovación estaba en el aire pero nadie nos decía nada Al final la última semana que estuvimos ahí la jefa de nuestra sección no apareció ni un día y nadie tuvo la decencia de decirnos que dejaban de contar con nosotros Tuvimos que ser nosotros quienes preguntásemos qué pasaba al final Fue de vergüenza ver cómo alguien se desentendía tanto y ver la falsedad que suponía ese buen trato al trabajador que en realidad sólo es así cuando les interesa Ikea SanSebastian Trabajosruinerosmadrid,1
14,Buenas he visto la historia de la entrevista de Calcedonia y me he animado a contar la mía con el Foster Hollywood de Nervión Sevilla Todo empezó hace dos semanas cuando la empresa de trabajo temporal BCM contacto conmigo para ofrecerme el puesto a la semana siguiente acudí a la entrevista con fiebre para mi sorpresa no solo yo sino otras 25 personas aproximadamente habíamos sido citados a la misma hora nos tocó esperar bajo la lluvia algo que acepté sin rechistar por las buenas condiciones del trabajo sinceramente Para mi sorpresa fui contratada en la misma entrevista ya que encajaba perfectamente con el perfil que buscaban quede en citarme con la ETT la semana siguiente para firmar el contrato Tras otra semana de espera tuve que acudir dos veces a la susodicha empresa ya que hubo problemas con el contrato online además de tener que realizar el curso de prevención de riesgos laborales todo esto a dos días de incorporarme Por fin tras dos semanas de espera y de ir de un lado para otro llego el día de incorporarme mi turno empezaba a las 14 hubo un accidente de tráfico en el centro y llegue al local a las 14 05 obviamente informe a la ETT del incidente cuando llegue fui corriendo al encargado para disculparme por lo ocurrido lo que no me esperaba es que me despidiese en el acto no me dio tiempo a tocar ni la bandeja me despidió por los 5 minutos de demora que obviamente eran por causas ajenas a mi me quedé bloqueada alegando que tenía un contrato firmado con la ETT le dio igual y me dijo que me las apañase con la empresa y me echo del local Lo más fuerte es que a día de hoy con mi contrato aún en vigor la ETT sigue sin darme respuesta no paran de darme largas diciéndome que el encargado aún ni se ha puesto en contacto con ellos para comunicarles mi despido Siento que he perdido mi tiempo que al parecer vale mucho menos que el del empresario que me tengo que comer un despido totalmente improcedente y para colmo desamparada por la ETT esta es la realidad de los trabajadores temporales Sevilla fosterhollywood Trabajosruinerosevilla,1
15,Mi experiencia ha sido en Tiger Store Pamplona centro comercial la morena en 11 días trabajando en esa tienda he recibido por parte de las dos encargadas que hay contantes vejaciones insultos amenaces de despido sino hacia bien mi trabajo malos tratos hablando constantes Tenía una jornada de 6 30h al día pues bien de normal siempre se excedía algo más a mí no me importaba el problema viene cuando ni te lo agradecen ni se te paga el problema viene cuando me tocaban 15 minutos De descanso y los conseguí hacer 4 días de los 11 que he trabajado porque mi encargada cuando ella decía que hacia bien mi trabajo me recompensaba con mi descanso cuando lo hacía mal literalmente me castigaban sin el descanso Nunca havia vivido una experiencia tan negativa en ningún trabajo Ellas me decían tenemos que cumplir las expectativas de ganancias eso es normal pero todo esto pasaba por hablar mal contantemente comerte marrones que tú no habías creado y de hecho era culpa de las encargadas y cuando se hacía algo bien se lo atribuían para quedar bien Además trabajamos con walkies para tener mejor comunicacion en el trabajo Bueno pues las broncas muchas veces te las echaban por el walkie delante de todos los clientes Cuando preguntabas una cosa te decían antes de preguntar nada buscar vosotras mismas joder Cuando te pasabas dos minutos buscando porque obviamente no lo encontrabas porque llevabas dos días se oía una voz por el walkie que decia que cojones buscas tanto rato sino sabéis preguntar ostias que siempre estamos igual Està ha sido mi experiencia en 11 días y ser de muy seguro que no recomiendo a nadie que busque trabajo ahí De hecho tuve la oportunidad en alguna ocasión de hablar con mis compis porque si hablaba con ellos también era momento de bronca y me dijeron que estaban hartos que no aguantaban más En estos 11 días he visto dos despidos y el mío y preguntas de la gente nueva que entraba de que si este ambiente de trabajo siempre es así Pamplona Lamorea Tiger Trabajosruinerospamplona,1
16,Si en algun momento teneis pensado trabajar alli huir insensatas El sueldo era muy bajo tenia que trabajar 10 horas seguidas con un descanso de menos de 30 minutos los horarios los cambiaba la jefa segun le venia en gana siempre con favoritismos si le caias bien te ponia el mejor horario Lo peor de todo era que producto bombones chocolate que se caia al suelo se volvia a poner a la venta y sinceramente por el precio que tienen se espera una calidad que no se daba Ademas si robaban en la tienda dentro de tu turno lo que faltara tenias que pagarlo de tu bolsillo un asco vamos La peor experiencia que tuve en una empresa JeffDeBruges LaVaguada TrabajosRuinerosmadrid,1
17,Hola quería comentar mi experiencia en el restaurante el Chingón de Boadilla del Monte Madrid Mi experiencia fue nefasta Empezando porque te pagan una miseria muy por debajo del salario mínimo interprofesional además me tardó en pagar casi un mes y menos de lo acordado Encima el local está asqueroso no pasa las condiciones mínimas de sanidad e higiene hay cucarachas que yo misma tuve que matar incluso en ocasiones se colaron ratones de campo Me acuerdo que una vez que encontré una cucaracha entre los platos limpios se lo dije al jefe y me dijo que no los limpiará porque eran muchos y gastaba mucho Pero esque encima el dueño es un cxxxxxxxxx y constantemente bajaba al almacén para dxxxxxxx Es muy agobiante trabajar Con una persona en esas condiciones es un ruin que si se puede gastar lo mínimo lo hace como es el caso del alcohol y la materia prima No os recomiendo trabajar aquí es un explotador Restaurante Elchingon Trabajosruinerosmadrid,1
18,En el parque Warner de Madrid a los actores de las atracciones de terror nos pagan 4 7 hora y nos descuentan una hora de trabajo por una supuesta hora para la comida que no existe A todos los actores y animadores del parque de atracciones ParqueWarner Madrid Trabajosruinerosmadrid,1
19,Te voy a contar mi experiencia en el 100 montaditos del Vialia en Salamanca Hace 3 años me hicieron un contrato de formación como camarera al entrar eran todo chicos excepto una chica y yo las dos semanas que estuve me las pase limpiando eran súper machistas pero conmigo a la hora de cerrar me hacían barrer y fregar todo a mí y ellos sentados en vez de ayudarme me metían prisa total que salía de allí casi todos los días llorando A las dos semanas decidieron despedirme porque no hacía bien mi trabajo Se supone que era camarera pero vamos que la que limpiaba la mierda de los servicios era yo Un par de dias me tocó hacer a mi los montaditos y el asco que me dio no fue ni normal es casi todo crudo y solo calientan el pan Unos machistas de mierda vamos Vialia Salamaca 100montaditos,1
20,Coop LA GARBANCITA ECOLÓGICA C Puerto del Milagro Pte de Vallecas 6 meses de experiencia Parecía un sitio hippie guay pero luego la cooperativa parecia que estaba en una coyuntura de guerra permanente por la supervivencia de su proyecto social y la protección y estabilidad de sus trabajadores Nada menos El Consejo Rector de esta cooperativa recurría habitualmente a métodos crueles contra las y los trabajadores Excluían humillaban y marginaban a todos aquellos que no querían seguir con las pautas de la direccion para finalmente despedirlos de la empresa y paralelamente explotar a los que allí dentro continuaban aún más exigiendo una mayor entrega de sí mismos Los miembros del Consejo Rector Agustín Morán Pilar Galindo y Nerea Hernández dicen que se esmeran en cuidar a sus empleados Pero la realidad en este lugar es muy distinta a las experiencias cooperativistas que tanto admiran Las asambleas y los desayunos que se preparan en la cooperativa son aprovechados por el Consejo Rector para controlar las relaciones interpersonales que surgen entre los trabajadores forzando a algunos de éstos a apoyar sus decisiones Aquellos que no se posicionaban a favor de sus propuestas sufrian continúas humillaciones y vejaciones delante de sus compañeros Los insultos y descalificaciones que dedicaba Agustín Morán a aquellos trabajadores contaminados se repetían en cada una de las asambleas relevo que recogía Pilar Galindo cuando éste se encontraba ausente En algunas estas asambleas se obligó a las y los trabajadores a posicionarse en contra contra los demás currelas o a que apareciesen como sus testigos en los juicios bajo la amenaza de quedar aislados del resto del grupo o algo mucho peor Un ejemplo reciente que se produjo en una de estas asambleas fue una votación donde se proponía una bajada salarial a los trabajadores en la cual se presionó a cada empleado para que votaran a favor de ella bajo la amenaza de declarar la cooperativa en quiebra técnica También dos miembras del Consejo Rector votaron como trabajadores en esta votación,1
21,Hola quería compartir con vosotros mi experiencia como trabajadora de Mercadona del centro comercial H2O Después de pasar una infinidad de entrevistas un reconocimiento médico etc Te mandan 1 semana a 40h a una nave en fuenlabrada a una especie de secta donde te dicen lo bueno y bonito que es mercadona durante 7 días Tras ese proceso me incorporé a la tienda y lo que me encontré fue trabajadores con ansiedad estrés muchas presiones Teníamos una coordinadora que no nos llamaba por nuestro nombre sino tu o esa Nos gritaba delante de los clientes y te dejaba en evidencia delante de tus compañeros Mercadona h2ocio Trabajosruinerosmadrid,1
22,Nos escribe un una compa fortísima GRACIAS La experiencia en sí depende de la campaña te obligan a ir encadenando contratos de ETT de 1 o 2 meses por lo que aunque llegues a objetivos o trabajes muy bien si se les cruza el cable a los coordinadores o no les haces la pelota o no les caes bien te echan En el mismo día que se acaba el contrato Sin preaviso Terminas tu jornada y pum que igual te enteras por la tarde de que te han echado tras terminar tu jornada Una vez te llegan a hacer de empresa que por lo general llegan los que o son muy útiles para la empresa los que venden o los más inútiles y amiguitos de los coordinadores La planificación es terrorífica pides tus días libres que te pertenecen con semanas de preaviso y el mismo día te dicen que por necesidades del servicio les flipa esa frase no te lo van a dar Los coordinadores no tienen ni puñetera idea de nada lo único que hacen es pegar gritos por toda la plataforma y faltar al respeto a los trabajadores Si les preguntas alguna duda mejor no preguntes porque primero que no van a saber resolvertela y segundo que te van a gritar y a tratar como si fueras una basura En cuanto al material de trabajo etc cuanto más amigo de los coordinadores seas más probabilidades de que puedas tener un ordenador decente que te deje hacer tu trabajo o una silla que no esté rota y donde no te dejes la espalda si no olvídate Actualmente hay bastante gente de baja por ansiedad el samur tiene que ir cada dos por tres e incluso la policia porque la gente no puede más Te falsean los objetivos para que aunque seas el mejor de la campaña y vendas mucho nunca llegues y no cobres incentivos Eso si te van a explotar como el que más y a meterte en una salita junto con otros jefecillos de la campaña para meterte miedo También te cambian el horario sin preaviso Y te lo tienes que comer con patatas Cuando son turnos fijos Y bueno creo que es demasiado pero es que de verdad tengo muchísimas cosas que contar hasta una señora le dio un infarto en medio del trabajo y ahora está en coma Es lo más surrealista que he vivido en mi vida y somos muchísimos los que lo sufrimos Arvato,1
23,Hola la empresa de la que voy a hablar es CLECE en Madrid perdonad si me extiendo pero aún así será poco Es una empresa que lleva varios sectores y cada centro o cada puesto de trabajo tendrá lo suyo pero no voy a entrar en eso ni tampoco en los compañeros ya que tengo la suerte de tener un gran equipo Yo voy un poquito más allá Clece es una empresa que saca el máximo jugo y no se hasta qué punto dentro de la legalidad a los contratos formativos Sus contratos formativos ahora mismo se basan en que te hacen un año de contrato en el que trabajas 40 horas semanales sin incluir la media hora diaria de comida pudiendo ser de media jornada también en el que cobras el 80 del sueldo base y este se puede prorrogar a 11 meses más en los cuales cobras el 95 Esto puede parecer una oportunidad para la gente joven ya que tienes que ser menor de 30 años para que te lo hagan y realmente lo sería si después de pasar por este contrato explotación te hiciesen fijo pero adivinad qué No hacen fijo a NADIE Pasan de una persona a otra con este tipo de contrato beneficiándose de la persona a la que contratan por un precio pésimo por no hablar de las ayudas que da el estado a la empresa Es vergonzoso que personas válidas se vayan a la calle porque ya no pueden sacar más provecho de ella Se aprovechan tanto de este tipo de contratos que en vez de ampliar el horario a una psicóloga que lleva años y años en la empresa incluso pidiéndolo por escrito a superiores se lo deniegan basándose en mentiras De esta manera le mantienen un contrato de media jornada incluso aunque diga el pliego que tiene que haber un psicólogo 40 horas a la semana porque lo que hacen es contratar a otro psicólogo con contrato formativo y así poder seguir ganando tirando por tierra el trabajo de una persona que lleva años en la empresa así como el crecimiento personal y laboral y la motivación en el trabajo de la persona Por no hablar de que si falta una persona al trabajo y se avisa de manera anticipada da igual porque no van a cubrir ese puesto Se llega a tal punto que te obligan a hacer tareas que no corresponden a tu puesto,1
24,Alguien que no haya comprado todavía en Amazon Yo quiero hablar de Amazon en san Fernando A parte del trabajo que a nivel físico es terrible queria centrarme en el acoso y manipulación de algunos managers hacia los trabajadores Son auténticos robots sin sentimiento ni empatía la gran mayoría al menos te hacen sentir una mierda que no vales nada y no dejan de recalcar que tienes mucha suerte y que mucha gente mataría por estar en tu puesto Fomentan entre nada y menos el compañerismo intentando que te lleves mal con la gente y que les pises si hace falta He estado en muchos trabajos pero el nivel de manipulación y de anulación de esta gente se lleva el premio al peor trabajo en el que he estado Sí es cierto que se cobra más que en otros almacenes pero a nivel mental y físico pierdes años de vida ahí dentro Amazon Sanfernando TrabajosRuinerosmadrid,1
25,Mi experiencia en Glovo en Sevilla Al ser mi primer trabajo no se muy bien como compararlo con otros pero tiene muchas cosas que comentar Para empezar no te exigian experiencia alguna ni curriculum no se hasta que punto eso es bueno o malo escogian a las personas en orden de preferencia segun si tenian moto y su disponibilidad nada mas Para continuar se utilizaba el movil particular para el trabajo y gastando dinero en llamadas y utilizando internet personal La app parecia bien montada pero se paraba de forma habitual el chat con el soporte para tratar diversos temas tardaba una eternidad cuando ganas mas dinero empleando menos tiempo en los pedidos La empresa te ofrece opciones de gestorias ya que hay que darse de alta como autonomo pero a la que me suscribi era una basura y no me dieron de alta hasta 2 meses despues Por no hablar de los desorbitados pagos al estado que te obligan a que glovo sea tu prioridad no como te lo pintan como si fuera algo adicional en tu vida Cada vez que se entregaba algo el cliente firmaba y ahi se comprobaba si la tarjeta era valida teniendo yo que cargar con la responsabilidad de tratar con soporte a la vez que con el cliente que esta furioso porque su pedido se va a enfriar y dice que tiene dinero en la cuenta Todo recaia sobre mi teniendo que volver muchas veces al restaurante porque se habian dejado partes del pedido sin darme para entregar Te dicen que el horario es flexible y lo escoges tu pero yo en 6 meses que estuve tarde mucho en subir mi puntuacion como repartidor para poder escoger otras horas que no fuesen mediodia y noche Conclusion una buena idea de empresa pero muy mal montada le faltan muchos detalles que mejorar y organizar bien ya que aquello era un caos total y aun me dejo muchas cosas que comentar Me quedo con lo positivo de que el manager de sevilla Juan Ornia hacia muy bien su trabajo atendiendonos a los repartidores en problemas Glovo Sevilla Trabajosruinerosevilla,1
26,NOS MOVEMOS A MALAGA Nombre de la empresa SkyMálaga proveedor oficial de Vodafone Ubicación Málaga Llegue a la entrevista y deje claro que soy una persona sincera y no me gusta engañar al cliente cosa que dijo que le gusto y por la que me contrataron entre en periodo de prueba obviamente sin pagarme nada me llevaron a Ronda aprox Unos 40 km o mas de Málaga sin decirme a donde iba sin decirme que tendría que llevar dinero o comida y agua sin decirme que estaría allí 10 horas Cuando terminó él día me dijeron que si quería podría empezar a trabajar yo le dije que si obviamente necesitaba trabajar entre como comercial pretendian que fuese cada día a sitio igual de lejos que Ronda pagando la gasolina cosa que no podía por que no tenia nada de dinero una no entra a comercial por gusto sabiendo como es él puesto les dije que yo no podría desplazarme todos los dias tan lejos ya que aparte de ir lejos yo vivía a 20 km de la oficina Tenia que coger dos autobuses diarios mas a donde fuese me dijeron que podría quedarme con otro grupo por Málaga donde no tendría que desplazarme tanto aun así me gastaba diario 5 euros o mas en transporte dependiendo a donde fuesemos Se suponía que trabajabamos 8 horas diarias los supervisores se cansaban a las 4 h y te decían que por ese día ya estaba bien que si querías hicieses kilómetros cosa que yo no podía hacer por que acababa de entrar en la empresa y tenia que ir siempre acompañada de un supervisor Por la mañana había reuniones motivadoras cosa que estaba muy bien los compis eran muy simpáticos en un principio pero allí había un puterio Peleas entre compañeras por otro compañero etc Todo esto sin contrato él día que me dijeron de firmar mi contrato lo hicieron antes de empezar la reunión con prisas por que me estaban esperando me imagino que para que no leyeses él contrato Hacías contratos a la gente diciéndole que cuando terminase la oferta podría llamar y darse de baja y volver a poner la tarifa cosa que era mentira las tarifas de oferta cambian una de ellas te daba un móvil y se suponía que solo tenias que estar doce meses con la compañía lo que no te decian es que con él móvil,1
